IP地址,端口,TLS,数据中心,地区,城市,网络延迟,速度
103.184.45.184,443,true,SJC,North America,San Jose,188 ms,11.04 MB/s
103.184.45.105,443,true,SJC,North America,San Jose,195 ms,11.03 MB/s
103.184.45.81,443,true,SJC,North America,San Jose,188 ms,11.02 MB/s
103.184.45.35,443,true,SJC,North America,San Jose,189 ms,11.02 MB/s
103.184.44.163,443,true,SJC,North America,San Jose,237 ms,11.00 MB/s
103.184.44.144,443,true,SJC,North America,San Jose,227 ms,10.98 MB/s
103.184.45.21,443,true,SJC,North America,San Jose,184 ms,10.98 MB/s
103.184.44.44,443,true,SJC,North America,San Jose,195 ms,10.95 MB/s
103.184.45.6,443,true,SJC,North America,San Jose,194 ms,10.95 MB/s
103.184.44.106,443,true,SJC,North America,San Jose,195 ms,10.95 MB/s
103.184.44.184,443,true,SJC,North America,San Jose,198 ms,10.94 MB/s
103.184.44.197,443,true,SJC,North America,San Jose,187 ms,10.94 MB/s
103.184.45.224,443,true,SJC,North America,San Jose,182 ms,10.93 MB/s
103.184.45.169,443,true,SJC,North America,San Jose,193 ms,10.93 MB/s
103.184.45.219,443,true,SJC,North America,San Jose,190 ms,10.92 MB/s
103.184.45.162,443,true,SJC,North America,San Jose,182 ms,10.91 MB/s
103.184.44.178,443,true,SJC,North America,San Jose,201 ms,10.91 MB/s
103.184.45.178,443,true,SJC,North America,San Jose,188 ms,10.91 MB/s
103.184.45.237,443,true,SJC,North America,San Jose,206 ms,10.90 MB/s
103.184.44.205,443,true,SJC,North America,San Jose,194 ms,10.88 MB/s
103.184.45.92,443,true,SJC,North America,San Jose,196 ms,10.87 MB/s
103.184.45.144,443,true,SJC,North America,San Jose,194 ms,10.86 MB/s
103.184.45.218,443,true,SJC,North America,San Jose,193 ms,10.86 MB/s
103.184.45.54,443,true,SJC,North America,San Jose,190 ms,10.84 MB/s
103.184.45.114,443,true,SJC,North America,San Jose,190 ms,10.83 MB/s
103.184.45.97,443,true,SJC,North America,San Jose,190 ms,10.83 MB/s
103.184.44.131,443,true,SJC,North America,San Jose,197 ms,10.83 MB/s
103.184.44.37,443,true,SJC,North America,San Jose,192 ms,10.82 MB/s
103.184.45.93,443,true,SJC,North America,San Jose,200 ms,10.82 MB/s
103.184.45.252,443,true,SJC,North America,San Jose,201 ms,10.80 MB/s
103.184.45.210,443,true,SJC,North America,San Jose,186 ms,10.79 MB/s
103.184.44.5,443,true,SJC,North America,San Jose,201 ms,10.76 MB/s
103.184.44.139,443,true,SJC,North America,San Jose,187 ms,10.74 MB/s
103.184.45.166,443,true,SJC,North America,San Jose,194 ms,10.74 MB/s
103.184.45.29,443,true,SJC,North America,San Jose,196 ms,10.70 MB/s
103.184.44.23,443,true,SJC,North America,San Jose,189 ms,10.67 MB/s
103.184.44.216,443,true,SJC,North America,San Jose,194 ms,10.65 MB/s
103.184.45.225,443,true,SJC,North America,San Jose,191 ms,10.64 MB/s
103.184.45.20,443,true,SJC,North America,San Jose,189 ms,10.63 MB/s
103.184.44.200,443,true,SJC,North America,San Jose,189 ms,10.59 MB/s
103.184.45.78,443,true,SJC,North America,San Jose,190 ms,10.59 MB/s
103.184.44.73,443,true,SJC,North America,San Jose,196 ms,10.55 MB/s
103.184.44.38,443,true,SJC,North America,San Jose,187 ms,10.54 MB/s
103.184.44.221,443,true,SJC,North America,San Jose,185 ms,10.52 MB/s
103.184.44.253,443,true,SJC,North America,San Jose,194 ms,10.49 MB/s
103.184.45.150,443,true,SJC,North America,San Jose,194 ms,10.47 MB/s
103.184.44.60,443,true,SJC,North America,San Jose,197 ms,10.46 MB/s
103.184.45.213,443,true,SJC,North America,San Jose,188 ms,10.38 MB/s
103.184.45.66,443,true,SJC,North America,San Jose,227 ms,10.32 MB/s
103.184.44.162,443,true,SJC,North America,San Jose,193 ms,10.29 MB/s
103.184.44.166,443,true,SJC,North America,San Jose,194 ms,9.98 MB/s
103.184.45.212,443,true,SJC,North America,San Jose,183 ms,9.83 MB/s
103.184.45.8,443,true,SJC,North America,San Jose,187 ms,9.83 MB/s
103.184.45.74,443,true,SJC,North America,San Jose,197 ms,9.48 MB/s
103.184.44.74,443,true,SJC,North America,San Jose,200 ms,8.96 MB/s
103.184.45.155,443,true,SJC,North America,San Jose,238 ms,8.26 MB/s
103.184.45.15,443,true,SJC,North America,San Jose,190 ms,4.71 MB/s
103.184.44.175,443,true,SJC,North America,San Jose,193 ms,4.43 MB/s
103.184.44.176,443,true,SJC,North America,San Jose,188 ms,4.37 MB/s
103.184.44.183,443,true,SJC,North America,San Jose,195 ms,4.23 MB/s
103.184.45.27,443,true,SJC,North America,San Jose,188 ms,4.20 MB/s
103.184.44.105,443,true,SJC,North America,San Jose,185 ms,4.20 MB/s
103.184.45.49,443,true,SJC,North America,San Jose,181 ms,4.15 MB/s
103.184.45.70,443,true,SJC,North America,San Jose,187 ms,4.11 MB/s
103.184.45.3,443,true,SJC,North America,San Jose,188 ms,4.07 MB/s
103.184.44.100,443,true,SJC,North America,San Jose,201 ms,4.05 MB/s
103.184.44.202,443,true,SJC,North America,San Jose,192 ms,3.99 MB/s
103.184.45.171,443,true,SJC,North America,San Jose,187 ms,3.97 MB/s
103.184.45.247,443,true,SJC,North America,San Jose,182 ms,3.97 MB/s
103.184.45.137,443,true,SJC,North America,San Jose,191 ms,3.95 MB/s
103.184.44.12,443,true,SJC,North America,San Jose,187 ms,3.93 MB/s
103.184.45.177,443,true,SJC,North America,San Jose,194 ms,3.92 MB/s
103.184.45.73,443,true,SJC,North America,San Jose,190 ms,3.89 MB/s
103.184.44.46,443,true,SJC,North America,San Jose,187 ms,3.87 MB/s
103.184.45.180,443,true,SJC,North America,San Jose,227 ms,3.85 MB/s
103.184.44.45,443,true,SJC,North America,San Jose,192 ms,3.84 MB/s
